Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.98     0.00  2000000     0.00     0.00  std::__detail::_Adaptor<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>, double>::_Adaptor(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  0.00      0.98     0.00  1999970     0.00     0.00  std::_Deque_base<common::Point, std::allocator<common::Point> >::_M_get_Tp_allocator()
  0.00      0.98     0.00  1999964     0.00     0.00  std::_Deque_iterator<common::Point, common::Point const&, common::Point const*>::_M_const_cast() const
  0.00      0.98     0.00  1999964     0.00     0.00  std::deque<common::Point, std::allocator<common::Point> >::erase(std::_Deque_iterator<common::Point, common::Point const&, common::Point const*>)
  0.00      0.98     0.00  1999964     0.00     0.00  std::deque<common::Point, std::allocator<common::Point> >::pop_back()
  0.00      0.98     0.00  1000070     0.00     0.00  std::_Deque_iterator<common::Point, common::Point const&, common::Point const*>::operator++()
  0.00      0.98     0.00  1000037     0.00     0.00  std::operator==(std::_Deque_iterator<common::Point, common::Point const&, common::Point const*> const&, std::_Deque_iterator<common::Point, common::Point const&, common::Point const*> const&)
  0.00      0.98     0.00  1000002     0.00     0.00  std::reverse_iterator<std::_Deque_iterator<common::Point, common::Point&, common::Point*> >::reverse_iterator(std::_Deque_iterator<common::Point, common::Point&, common::Point*>)
  0.00      0.98     0.00  1000000     0.00     0.00  std::_Deque_iterator<common::Point, common::Point const&, common::Point const*>::operator*() const
  0.00      0.98     0.00  1000000     0.00     0.00  common::Point& std::deque<common::Point, std::allocator<common::Point> >::emplace_back<double, double>(double&&, double&&)
  0.00      0.98     0.00  1000000     0.00     0.00  std::deque<common::Point, std::allocator<common::Point> >::back()
  0.00      0.98     0.00  1000000     0.00     0.00  void std::_Construct<common::Point, common::Point const&>(common::Point*, common::Point const&)
  0.00      0.98     0.00  1000000     0.00     0.00  common::Point* std::__addressof<common::Point>(common::Point&)
  0.00      0.98     0.00   999997     0.00     0.00  __gnu_cxx::__ops::__val_comp_iter(__gnu_cxx::__ops::_Iter_less_iter)
  0.00      0.98     0.00   152549     0.00     0.00  std::_Deque_base<common::Point, std::allocator<common::Point> >::_M_allocate_node()
  0.00      0.98     0.00   152549     0.00     0.00  std::_Deque_base<common::Point, std::allocator<common::Point> >::_M_deallocate_node(common::Point*)
  0.00      0.98     0.00   152549     0.00     0.00  std::__new_allocator<common::Point>::deallocate(common::Point*, unsigned long)
  0.00      0.98     0.00   152549     0.00     0.00  std::__new_allocator<common::Point>::allocate(unsigned long, void const*)
  0.00      0.98     0.00   121330     0.00     0.00  std::_Deque_base<common::Point, std::allocator<common::Point> >::_M_get_Tp_allocator() const
  0.00      0.98     0.00   121295     0.00     0.00  std::deque<common::Point, std::allocator<common::Point> >::max_size() const
  0.00      0.98     0.00   121295     0.00     0.00  std::deque<common::Point, std::allocator<common::Point> >::_S_max_size(std::allocator<common::Point> const&)
  0.00      0.98     0.00   121295     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.98     0.00   121294     0.00     0.00  std::deque<common::Point, std::allocator<common::Point> >::_M_reserve_map_at_back(unsigned long)
  0.00      0.98     0.00   103907     0.00     0.00  std::_Deque_iterator<common::Point, common::Point&, common::Point*>::operator-=(long)
  0.00      0.98     0.00   103905     0.00     0.00  void std::__move_median_to_first<std::_Deque_iterator<common::Point, common::Point&, common::Point*>, __gnu_cxx::__ops::_Iter_less_iter>(std::_Deque_iterator<common::Point, common::Point&, common::Point*>, std::_Deque_iterator<common::Point, common::Point&, common::Point*>, std::_Deque_iterator<common::Point, common::Point&, common::Point*>, std::_Deque_iterator<common::Point, common::Point&, common::Point*>, __gnu_cxx::__ops::_Iter_less_iter)
  0.00      0.98     0.00   103905     0.00     0.00  std::_Deque_iterator<common::Point, common::Point&, common::Point*> std::__unguarded_partition_pivot<std::_Deque_iterator<common::Point, common::Point&, common::Point*>, __gnu_cxx::__ops::_Iter_less_iter>(std::_Deque_iterator<common::Point, common::Point&, common::Point*>, std::_Deque_iterator<common::Point, common::Point&, common::Point*>, __gnu_cxx::__ops::_Iter_less_iter)
  0.00      0.98     0.00   103905     0.00     0.00  std::operator-(std::_Deque_iterator<common::Point, common::Point&, common::Point*> const&, long)
  0.00      0.98     0.00    90044     0.00     0.00  void std::deque<common::Point, std::allocator<common::Point> >::_M_push_back_aux<common::Point const&>(common::Point const&)
  0.00      0.98     0.00    90043     0.00     0.00  std::deque<common::Point, std::allocator<common::Point> >::_M_pop_back_aux()
  0.00      0.98     0.00    31257     0.00     0.00  std::_Deque_iterator<common::Point, common::Point const&, common::Point const*>::_S_buffer_size()
  0.00      0.98     0.00    31254     0.00     0.00  std::_Deque_iterator<common::Point, common::Point const&, common::Point const*>::_M_set_node(common::Point**)
  0.00      0.98     0.00    31250     0.00     0.00  void std::deque<common::Point, std::allocator<common::Point> >::_M_push_back_aux<double, double>(double&&, double&&)
  0.00      0.98     0.00      624     0.00     0.00  std::__detail::_Mod<unsigned long, 4294967296ul, 1ul, 0ul, true, true>::__calc(unsigned long)
  0.00      0.98     0.00      624     0.00     0.00  unsigned long std::__detail::__mod<unsigned long, 4294967296ul, 1ul, 0ul>(unsigned long)
  0.00      0.98     0.00      623     0.00     0.00  std::__detail::_Mod<unsigned long, 624ul, 1ul, 0ul, true, true>::__calc(unsigned long)
  0.00      0.98     0.00      623     0.00     0.00  unsigned long std::__detail::__mod<unsigned long, 624ul, 1ul, 0ul>(unsigned long)
